node_id	node_label	node_year	node_category	selected_qid	selected_label	selected_description	alternatives	confidence
turing_machine	Turing Machine	1936	TECHNOLOGY	Q163310	Turing machine	abstract computation model; mathematical model of computation that defines an abstract machine which manipulates symbols on a strip of tape according to a table of rules	Q118469770:Turing Machine:Greek theatrical performance at the New Theatre of Katerina Vassilakou, Athens, 2022/3 | Q116450980:Turing Machine:2022 board game | Q7854962:Turing machine equivalents:hypothetical computing devices | Q1368514:Turing machine with additional input:computational model in theoretical computer science equivalent to a nondeterministic Turing machine	review
transistor	The Transistor	1947	TECHNOLOGY	Q108567235	The Transistor - a Crystal Triode	article from 'Electronics', published September 1948	Q108474141:The Transistor / Frank H. Rockett. - (09.1948):Article from 'Scientific American', published in September 1948 | Q111364510:The Transistor Radio:Book by Ken Saro-Wiwa | Q21709231:The Transistor, A Semi-Conductor Triode:scientific article | Q56532471:The Transistor - A New Semiconductor Amplifier:article	review
info_theory	Information Theory	1948	TECHNOLOGY	Q131222	information theory	mathematical theory from the field of probability theory and statistics	Q136645106:Information theory:paperback edition | Q27473350:Information Theory, 2005. ISIT 2005. Proceedings. International Symposium on: | Q27473251:Information Theory, 2003. Proceedings. IEEE International Symposium on: | Q6031263:Information theory and measure theory:	review
rsa	RSA Encryption	1977	TECHNOLOGY	Q114922592	RSA ENCRYPTION ALGORITHM AUGUMENTED WITH BIT-STUFFING TECHNIQUE FOR DATA SECURITY	scientific article published in 2017	Q122872130:RSA Encryption and Decryption System:scientific article published in 2020 | Q123358098:RSA ENCRYPTION USING VLSI ARCHITECTURE FOR HIGH SPEED APPLICATIONS:scientific article published in 2017 | Q2061730:RSA:American computer and network security company | Q258:South Africa:country in southern Africa	review
lithography	Lithography	1957	TECHNOLOGY	Q133036	lithography	printing technique	Q103951124:Lithography:encyclopedia article | Q56682219:Lithography of the peach variety Lord Palmerston:chromolithograph of De Pannemaeker, Pieter | Q56682221:Lithography of the grape variety Foster White Seedling:chromolithograph of De Pannemaeker, Pieter | Q56682220:Lithography of the pear variety Monchallard:chromolithograph of De Pannemaeker, Pieter	review
ic	Integrated Circuit	1959	TECHNOLOGY	Q80831	integrated circuit	electronic circuit formed on a small, flat piece of semiconductor material	Q126040323:Integrated circuit:US patent 11456828 | Q126042918:Integrated circuit:US patent 11343764 | Q126041572:Integrated circuit:US patent 11395268 | Q115722011:integrated circuit model:specific design of an integrated circuit of which all instances are produced to broadly similar specifications	review
ibm_360	IBM System/360	1964	TECHNOLOGY	Q609843	IBM System/360	IBM mainframe computer family (1964–1978)	Q5969049:IBM System/360 Model 67:1967 IBM mainframe model with virtual memory and 32-bit addressing | Q9295720:IBM System/360 Model 50:series of IBM computers | Q16927945:IBM System/360 architecture:model independent architecture for the S/360 line of mainframe computers, | Q3386642:IBM System/360 Model 30:IBM computer model from 1960s	auto
dram	DRAM	1968	TECHNOLOGY	Q55403857	Dram	family name	Q26525:Drammen:municipality in Buskerud, Norway | Q21010853:drama fiction:genre of narrative fiction revolving around human inner feelings | Q130232:drama film:film genre | Q25372:drama:formal type of literature intended for performance, where the text is written in the form of character lines and the author's remarks and is usually divided into acts and scenes	auto
optical_fiber	Optical Fiber	1970	TECHNOLOGY	Q162	optical fiber	light-conducting fiber	Q122730264:Optical fiber:US patent 11467340 | Q123007973:Optical fiber:US patent 11181684 | Q123286900:Optical fiber:US patent 11460632 | Q122616160:Optical fiber:US patent 11378738	review
microprocessor	Microprocessor	1971	TECHNOLOGY	Q5297	microprocessor	computer processor contained on an integrated-circuit chip	Q15817667:Microprocessors and Microsystems:journal | Q21108530:microprocessor complex:protein complex that binds to heme and to pri-miRNAs, and is required for the formation of a pre-microRNA (pre-miRNA), the initial step of microRNA (miRNA) biogenesis. The complex is composed of the double-stranded-RNA-specific RNase Drosha (also c | Q53953160:Microprocessors:journal | Q21112176:DGCR8 microprocessor complex subunit:mammalian protein found in Homo sapiens	auto
